county,sheet_name,for_table,trend
Rural,,,
Rural,,,
Rural,Low Weight Births,7%,↗
Rural,,,
Rural,,,
Rural,,,
Rural,Vehicle Miles Traveled,"6,354",↘
Rural,,,
Rural,,,
Sherman,,,
Sherman,Food Insecurity,15%,↘
Sherman,Child Poverty,14%,↗
Sherman,Child Abuse,6,
Sherman,Index Crime,2,↘
Sherman,Voter Participation,76%,↘
Sherman,,,
Sherman,4yr Degree or Greater,18%,↘
Sherman,2yr Degrees,11%,↗
Sherman,Graduation Rate,73%,↘
Sherman,Higher ed enrollment,,
Sherman,Letter Sounds,10%,
Sherman,,,
Sherman,Unemployment Rate,5%,↘
Sherman,LFPR,56%,↘
Sherman,Job Growth,-21,
Sherman,Property Tax per Person,"$3,824",↗
Sherman,Housing Cost Burden,29%,↗
Sherman,,,
Sherman,Physically Active Adults,,
Sherman,Adult Smoking,,
Sherman,Healthy Diet,,
Sherman,Vaccination Rate 2yr olds,,
Sherman,Low Weight Births,7%,↘
Sherman,,,
Sherman,Broadband Access,33%,
Sherman,Transit Service,0%,
Sherman,Vehicle Miles Traveled,126,↗
Sherman,Developed or Cultivated Land,40%,↗
Sherman,Mobile Homes,21%,↘
Tillamook,,,
Tillamook,Food Insecurity,13%,↘
Tillamook,Child Poverty,23%,↘
Tillamook,Child Abuse,12,
Tillamook,Index Crime,19,↘
Tillamook,Voter Participation,70%,↘
Tillamook,,,
Tillamook,4yr Degree or Greater,21%,↗
Tillamook,2yr Degrees,8%,↗
Tillamook,Graduation Rate,81%,↗
Tillamook,Higher ed enrollment,9%,↘
Tillamook,Letter Sounds,8%,
Tillamook,,,
Tillamook,Unemployment Rate,4%,↘
Tillamook,LFPR,50%,↘
Tillamook,Job Growth,-1,
Tillamook,Property Tax per Person,"$1,929",↗
Tillamook,Housing Cost Burden,35%,↗
Tillamook,,,
Tillamook,Physically Active Adults,17%,↘
Tillamook,Adult Smoking,31%,↗
Tillamook,Healthy Diet,18%,↗
Tillamook,Vaccination Rate 2yr olds,71%,↗
Tillamook,Low Weight Births,6%,↗
Tillamook,,,
Tillamook,Broadband Access,94%,
Tillamook,Transit Service,31%,
Tillamook,Vehicle Miles Traveled,241,↗
Tillamook,Developed or Cultivated Land,8%,—
Tillamook,Mobile Homes,12%,↘
Umatilla,,,
Umatilla,Food Insecurity,12%,↘
Umatilla,Child Poverty,26%,↗
Umatilla,Child Abuse,5,
Umatilla,Index Crime,18,↘
Umatilla,Voter Participation,57%,↘
Umatilla,,,
Umatilla,4yr Degree or Greater,16%,↗
Umatilla,2yr Degrees,10%,↗
Umatilla,Graduation Rate,76%,↗
Umatilla,Higher ed enrollment,18%,↘
Umatilla,Letter Sounds,6%,
Umatilla,,,
Umatilla,Unemployment Rate,5%,↘
Umatilla,LFPR,59%,↘
Umatilla,Job Growth,4,
Umatilla,Property Tax per Person,"$1,065",↗
Umatilla,Housing Cost Burden,28%,↗
Umatilla,,,
Umatilla,Physically Active Adults,12%,↘
Umatilla,Adult Smoking,18%,↘
Umatilla,Healthy Diet,12%,↘
Umatilla,Vaccination Rate 2yr olds,68%,↗
Umatilla,Low Weight Births,5%,↘
Umatilla,,,
Umatilla,Broadband Access,85%,
Umatilla,Transit Service,36%,
Umatilla,Vehicle Miles Traveled,678,↗
Umatilla,Developed or Cultivated Land,35%,—
Umatilla,Mobile Homes,15%,↘
Union,,,
Union,Food Insecurity,16%,↘
Union,Child Poverty,22%,↗
Union,Child Abuse,15,
Union,Index Crime,19,↘
Union,Voter Participation,68%,↘
Union,,,
Union,4yr Degree or Greater,24%,↗
Union,2yr Degrees,9%,↗
Union,Graduation Rate,86%,↗
Union,Higher ed enrollment,117%,↗
Union,Letter Sounds,10%,
Union,,,
Union,Unemployment Rate,5%,↘
Union,LFPR,58%,↘
Union,Job Growth,3,
Union,Property Tax per Person,$957,↗
Union,Housing Cost Burden,29%,↗
Union,,,
Union,Physically Active Adults,39%,↗
Union,Adult Smoking,14%,↘
Union,Healthy Diet,24%,↗
Union,Vaccination Rate 2yr olds,68%,↗
Union,Low Weight Births,11%,↗
Union,,,
Union,Broadband Access,64%,
Union,Transit Service,40%,
Union,Vehicle Miles Traveled,262,↗
Union,Developed or Cultivated Land,15%,—
Union,Mobile Homes,15%,↗
Urban,,,
Urban,,,
Urban,Child Poverty,20%,↗
Urban,Child Abuse,11,
Urban,Index Crime,32,↘
Urban,,,
Urban,,,
Urban,4yr Degree or Greater,37%,↗
Urban,2yr Degrees,8%,↗
Urban,Graduation Rate,79%,↗
Urban,Higher ed enrollment,62%,↗
Urban,,,
Urban,,,
Urban,,,
Urban,LFPR,65%,↘
Urban,Job Growth,5,
Urban,Property Tax per Person,"$1,516",↗
Urban,Housing Cost Burden,38%,↗
Urban,,,
Urban,,,
Urban,,,
Urban,,,
Urban,,,
Urban,Low Weight Births,7%,↗
Urban,,,
Urban,,,
Urban,,,
Urban,Vehicle Miles Traveled,"15,050",↗
Urban,,,
Urban,,,
Wallowa,,,
Wallowa,Food Insecurity,15%,↘
Wallowa,Child Poverty,21%,↗
Wallowa,Child Abuse,26,
Wallowa,Index Crime,0,↘
Wallowa,Voter Participation,77%,↘
Wallowa,,,
Wallowa,4yr Degree or Greater,26%,↗
Wallowa,2yr Degrees,10%,↗
Wallowa,Graduation Rate,92%,↗
Wallowa,Higher ed enrollment,,
Wallowa,Letter Sounds,11%,
Wallowa,,,
Wallowa,Unemployment Rate,6%,↘
Wallowa,LFPR,55%,↘
Wallowa,Job Growth,-2,
Wallowa,Property Tax per Person,"$1,207",↗
Wallowa,Housing Cost Burden,32%,↗
Wallowa,,,
Wallowa,Physically Active Adults,26%,
Wallowa,Adult Smoking,,
Wallowa,Healthy Diet,20%,↗
Wallowa,Vaccination Rate 2yr olds,68%,↗
Wallowa,Low Weight Births,3%,↘
Wallowa,,,
Wallowa,Broadband Access,92%,
Wallowa,Transit Service,35%,
Wallowa,Vehicle Miles Traveled,43,↘
Wallowa,Developed or Cultivated Land,4%,↗
Wallowa,Mobile Homes,16%,—
Wasco,,,
Wasco,Food Insecurity,12%,↘
Wasco,Child Poverty,15%,↘
Wasco,Child Abuse,16,
Wasco,Index Crime,12,↘
Wasco,Voter Participation,69%,↘
Wasco,,,
Wasco,4yr Degree or Greater,20%,↗
Wasco,2yr Degrees,11%,↗
Wasco,Graduation Rate,74%,↗
Wasco,Higher ed enrollment,31%,↘
Wasco,Letter Sounds,9%,
Wasco,,,
Wasco,Unemployment Rate,4%,↘
Wasco,LFPR,59%,—
Wasco,Job Growth,-2,
Wasco,Property Tax per Person,"$1,294",↗
Wasco,Housing Cost Burden,32%,↗
Wasco,,,
Wasco,Physically Active Adults,,
Wasco,Adult Smoking,,
Wasco,Healthy Diet,,
Wasco,Vaccination Rate 2yr olds,,
Wasco,Low Weight Births,8%,↗
Wasco,,,
Wasco,Broadband Access,80%,
Wasco,Transit Service,2%,
Wasco,Vehicle Miles Traveled,369,↗
Wasco,Developed or Cultivated Land,10%,↗
Wasco,Mobile Homes,15%,↘
Washington,,,
Washington,Food Insecurity,11%,↘
Washington,Child Poverty,14%,↗
Washington,Child Abuse,6,
Washington,Index Crime,17,↘
Washington,Voter Participation,71%,↘
Washington,,,
Washington,4yr Degree or Greater,42%,↗
Washington,2yr Degrees,9%,↗
Washington,Graduation Rate,85%,↗
Washington,Higher ed enrollment,,
Washington,Letter Sounds,10%,
Washington,,,
Washington,Unemployment Rate,4%,↗
Washington,LFPR,69%,↘
Washington,Job Growth,8,
Washington,Property Tax per Person,"$1,690",↗
Washington,Housing Cost Burden,34%,↗
Washington,,,
Washington,Physically Active Adults,28%,↗
Washington,Adult Smoking,12%,↘
Washington,Healthy Diet,20%,↘
Washington,Vaccination Rate 2yr olds,74%,↗
Washington,Low Weight Births,7%,↗
Washington,,,
Washington,Broadband Access,97%,
Washington,Transit Service,56%,
Washington,Vehicle Miles Traveled,"1,817",↗
Washington,Developed or Cultivated Land,44%,—
Washington,Mobile Homes,3%,↘
Wheeler,,,
Wheeler,Food Insecurity,15%,↘
Wheeler,Child Poverty,37%,↗
Wheeler,Child Abuse,0,
Wheeler,Index Crime,0,↘
Wheeler,Voter Participation,84%,↘
Wheeler,,,
Wheeler,4yr Degree or Greater,16%,↗
Wheeler,2yr Degrees,8%,↗
Wheeler,Graduation Rate,26%,↘
Wheeler,Higher ed enrollment,,
Wheeler,Letter Sounds,15%,
Wheeler,,,
Wheeler,Unemployment Rate,4%,↘
Wheeler,LFPR,45%,↘
Wheeler,Job Growth,24,
Wheeler,Property Tax per Person,"$1,496",↗
Wheeler,Housing Cost Burden,37%,↗
Wheeler,,,
Wheeler,Physically Active Adults,,
Wheeler,Adult Smoking,12%,↗
Wheeler,Healthy Diet,,
Wheeler,Vaccination Rate 2yr olds,,
Wheeler,Low Weight Births,0%,—
Wheeler,,,
Wheeler,Broadband Access,0%,
Wheeler,Transit Service,7%,
Wheeler,Vehicle Miles Traveled,21,↗
Wheeler,Developed or Cultivated Land,2%,↗
Wheeler,Mobile Homes,18%,↗
Yamhill,,,
Yamhill,Food Insecurity,12%,↘
Yamhill,Child Poverty,20%,↗
Yamhill,Child Abuse,10,
Yamhill,Index Crime,18,↘
Yamhill,Voter Participation,70%,↘
Yamhill,,,
Yamhill,4yr Degree or Greater,25%,↗
Yamhill,2yr Degrees,9%,↗
Yamhill,Graduation Rate,83%,↗
Yamhill,Higher ed enrollment,,
Yamhill,Letter Sounds,8%,
Yamhill,,,
Yamhill,Unemployment Rate,4%,↘
Yamhill,LFPR,60%,↘
Yamhill,Job Growth,6,
Yamhill,Property Tax per Person,"$1,190",↗
Yamhill,Housing Cost Burden,34%,↗
Yamhill,,,
Yamhill,Physically Active Adults,17%,↗
Yamhill,Adult Smoking,18%,↗
Yamhill,Healthy Diet,22%,↗
Yamhill,Vaccination Rate 2yr olds,76%,↗
Yamhill,Low Weight Births,7%,↗
Yamhill,,,
Yamhill,Broadband Access,83%,
Yamhill,Transit Service,48%,
Yamhill,Vehicle Miles Traveled,465,↗
Yamhill,Developed or Cultivated Land,41%,—
Yamhill,Mobile Homes,11%,↘
,SOCIAL,,
,,,
,,,
,,,
,,,
,,,
,EDUCATION,,
,,,
,,,
,,,
,,,
,,,
,ECONOMY,,
,,,
,,,
,,,
,,,
,,,
,HEALTH,,
,,,
,,,
,,,
,,,
,,,
,INFRASTRUCTURE,,
,,,
,,,
,,,
,,,
,,,
